,checking_acc,credit_historic,saving_acc,atual_employ_since,installment_rate,sex,housing,credits_at_bank,classification
446,2,Existing credits paid,1,2,2,Male,Own,1,Good
447,3,Existing credits paid,0,4,3,Female,Own,1,Good
448,2,Delay in paying,4,2,3,Male,Own,2,Bad
449,0,Critical acc/Other cr existing,0,2,4,Male,Own,1,Good
450,0,Existing credits paid,1,2,3,Female,Own,1,Good
451,0,No cr taken/all cr paid,1,4,2,Male,Own,2,Good
452,0,Existing credits paid,1,4,4,Male,Own,1,Good
453,1,Existing credits paid,1,3,2,Male,Own,1,Bad
454,0,Existing credits paid,1,1,4,Female,Own,1,Good
455,1,Critical acc/Other cr existing,1,2,2,Male,Rent,2,Good
456,1,Existing credits paid,1,4,3,Male,For free,1,Bad
457,1,Existing credits paid,1,1,4,Female,Own,1,Good
458,0,Existing credits paid,1,1,3,Male,Own,1,Good
459,1,Existing credits paid,1,2,1,Male,Own,1,Good
460,1,Existing credits paid,1,1,2,Male,Own,1,Good
461,2,Existing credits paid,1,1,3,Female,Rent,1,Good
462,2,Existing credits paid,0,4,4,Male,Own,2,Good
463,0,Existing credits paid,1,3,4,Male,Own,2,Good
464,1,Existing credits paid,1,2,3,Male,Own,1,Good
465,1,Delay in paying,1,1,4,Female,Rent,1,Bad
466,0,Delay in paying,0,4,3,Male,Own,2,Good
467,0,Delay in paying,1,2,2,Female,Own,2,Good
468,0,Delay in paying,1,3,3,Male,Own,2,Good
469,2,Existing credits paid,2,1,3,Male,Rent,1,Bad
470,1,Existing credits paid,1,1,4,Female,Own,1,Bad
471,1,Existing credits paid,1,2,4,Male,Own,1,Bad
472,0,Existing credits paid,0,0,4,Male,Own,1,Good
473,2,Critical acc/Other cr existing,1,2,4,Male,Own,1,Bad
474,1,No cr taken/all cr paid,1,1,1,Female,Rent,1,Bad
475,0,Existing credits paid,3,2,4,Male,Own,1,Good
476,3,Existing credits paid,1,3,4,Male,Own,1,Good
477,2,Existing credits paid,2,3,3,Male,Own,1,Good
478,1,Critical acc/Other cr existing,1,4,4,Male,Own,2,Good
479,2,Critical acc/Other cr existing,1,2,1,Female,Own,1,Good
480,2,Existing credits paid,1,1,4,Male,Own,1,Good
481,1,Existing credits paid,4,4,4,Female,Rent,2,Good
482,0,Delay in paying,4,3,3,Female,Own,2,Good
483,0,Critical acc/Other cr existing,3,2,4,Male,Own,1,Good
484,2,Delay in paying,1,0,4,Male,Own,1,Bad
485,0,Existing credits paid,1,2,2,Male,Own,1,Good
486,0,Existing credits paid,1,4,4,Female,For free,1,Good
487,0,Existing credits paid,2,2,3,Male,Rent,1,Good
488,0,Existing credits paid,1,2,2,Male,Rent,1,Good
489,0,Critical acc/Other cr existing,1,4,2,Male,Own,2,Good
490,2,No cr taken/all cr paid,1,4,2,Female,For free,2,Bad
491,0,Critical acc/Other cr existing,2,2,1,Female,Own,2,Good
492,2,Existing credits paid,0,4,4,Male,Own,1,Good
493,1,Critical acc/Other cr existing,1,2,3,Male,Rent,2,Good
494,1,Existing credits paid,0,2,2,Male,Own,1,Bad
495,2,Existing credits paid,2,1,4,Male,Rent,1,Bad
496,0,Critical acc/Other cr existing,1,3,4,Male,Own,2,Good
497,2,Existing credits paid,1,4,4,Male,Own,1,Good
498,3,Critical acc/Other cr existing,2,4,2,Male,Own,2,Good
499,1,Existing credits paid,1,1,4,Female,Own,1,Bad
500,1,Existing credits paid,1,4,2,Male,For free,1,Good
501,3,Existing credits paid,2,4,2,Male,Own,1,Good
502,2,Critical acc/Other cr existing,2,1,4,Male,Own,2,Bad
503,1,Existing credits paid,1,1,4,Female,Rent,1,Bad
504,0,Existing credits paid,0,2,4,Male,Own,1,Bad
505,3,Critical acc/Other cr existing,3,2,2,Male,Own,1,Good
506,2,All cr at this bank paid,2,0,1,Male,Own,1,Bad
507,0,Existing credits paid,1,2,4,Male,Own,1,Good
508,0,Existing credits paid,2,4,4,Male,Own,1,Good
509,1,Existing credits paid,1,3,4,Male,Own,1,Bad
510,0,Existing credits paid,1,2,2,Male,For free,1,Good
511,3,Existing credits paid,1,3,2,Male,Rent,1,Good
512,2,Delay in paying,1,2,4,Male,Rent,2,Good
513,0,Existing credits paid,0,1,4,Male,Own,1,Good
514,1,Critical acc/Other cr existing,1,3,4,Female,Own,2,Good
515,1,Critical acc/Other cr existing,1,1,2,Male,Own,1,Good
516,0,Critical acc/Other cr existing,1,1,2,Female,Rent,2,Bad
517,1,Existing credits paid,2,4,3,Male,Own,1,Good
518,0,Critical acc/Other cr existing,0,4,4,Male,For free,2,Good
519,0,Critical acc/Other cr existing,1,4,3,Male,For free,2,Good
520,1,Existing credits paid,1,2,2,Female,Own,1,Bad
521,1,No cr taken/all cr paid,1,2,3,Male,For free,2,Bad
522,0,Existing credits paid,2,3,3,Female,Own,1,Good
523,2,Existing credits paid,1,2,4,Female,Own,1,Good
524,2,Existing credits paid,1,1,2,Male,Own,2,Good
525,0,Critical acc/Other cr existing,2,2,4,Female,Own,1,Good
526,0,Critical acc/Other cr existing,1,3,2,Male,Own,2,Good
527,1,Existing credits paid,1,2,4,Male,Rent,1,Bad
528,1,Existing credits paid,1,1,3,Male,Own,1,Good
529,2,Existing credits paid,1,3,3,Male,Own,2,Good
530,2,Existing credits paid,2,2,2,Female,Rent,2,Bad
531,0,Delay in paying,1,2,4,Male,Rent,1,Good
532,0,Existing credits paid,2,3,4,Male,Own,1,Good
533,0,Existing credits paid,0,1,4,Male,Own,2,Good
534,3,Critical acc/Other cr existing,1,1,2,Male,Rent,1,Bad
535,1,Existing credits paid,0,0,4,Female,Own,1,Good
536,2,Critical acc/Other cr existing,1,4,3,Female,Own,1,Good
537,1,Existing credits paid,1,4,4,Male,For free,1,Bad
538,3,Existing credits paid,1,1,1,Female,Own,1,Good
539,2,Existing credits paid,1,1,1,Male,Rent,1,Bad
540,0,Delay in paying,1,4,4,Male,For free,2,Good
541,1,Existing credits paid,0,4,4,Male,Own,1,Bad
542,3,Existing credits paid,1,2,2,Male,Own,1,Bad
543,0,Critical acc/Other cr existing,1,4,4,Male,Own,2,Good
544,1,Delay in paying,1,0,4,Male,For free,2,Bad
545,0,Critical acc/Other cr existing,1,2,4,Female,Own,1,Good
546,0,Existing credits paid,1,3,3,Male,Own,1,Good
547,1,All cr at this bank paid,1,2,4,Female,Own,1,Bad
548,0,Critical acc/Other cr existing,0,3,2,Male,For free,2,Good
549,0,Critical acc/Other cr existing,0,3,4,Female,Own,2,Good
550,0,All cr at this bank paid,3,4,2,Male,Own,1,Good
551,1,Existing credits paid,1,3,1,Male,Own,2,Bad
552,2,Critical acc/Other cr existing,2,1,4,Male,Own,1,Good
553,2,Existing credits paid,1,3,4,Female,Own,2,Good
554,2,Existing credits paid,1,1,2,Male,Own,1,Bad
555,2,No cr taken/all cr paid,2,1,3,Female,Own,2,Bad
556,0,No cr taken/all cr paid,0,2,1,Female,Own,2,Bad
557,1,All cr at this bank paid,1,3,3,Male,Own,1,Bad
558,2,Critical acc/Other cr existing,1,1,2,Male,Own,2,Bad
559,1,Existing credits paid,0,4,4,Male,For free,1,Good
560,1,All cr at this bank paid,1,3,4,Male,Rent,1,Bad
561,3,Delay in paying,1,1,2,Female,Own,1,Good
562,2,Existing credits paid,0,2,1,Male,For free,1,Bad
563,2,Delay in paying,0,2,4,Male,Own,2,Good
564,2,Delay in paying,2,3,3,Female,Rent,2,Good
565,1,Existing credits paid,1,3,2,Male,Own,1,Bad
566,0,Critical acc/Other cr existing,4,4,2,Male,Own,1,Good
567,2,Existing credits paid,0,3,4,Male,Own,2,Good
568,1,Existing credits paid,1,2,3,Female,Own,1,Bad
569,1,Existing credits paid,1,1,4,Female,Rent,1,Bad
570,0,Critical acc/Other cr existing,1,3,3,Male,Own,1,Good
571,0,Existing credits paid,0,0,2,Female,Rent,1,Good
572,1,Existing credits paid,1,2,4,Female,Own,1,Good
573,2,Existing credits paid,1,4,4,Male,Own,2,Good
574,0,Critical acc/Other cr existing,1,3,2,Female,Own,2,Good
575,2,Existing credits paid,1,3,2,Female,Own,1,Good
576,0,Critical acc/Other cr existing,0,2,3,Female,Own,2,Good
577,2,Critical acc/Other cr existing,1,1,4,Male,Own,2,Bad
578,0,Existing credits paid,1,1,4,Male,Own,2,Good
579,2,Critical acc/Other cr existing,1,4,3,Male,Own,2,Bad
580,2,Critical acc/Other cr existing,1,1,1,Male,Own,2,Good
581,0,Existing credits paid,1,2,4,Female,Rent,1,Good
582,2,Existing credits paid,1,1,4,Male,Rent,1,Bad
583,0,Existing credits paid,0,4,4,Female,For free,1,Good
584,1,Existing credits paid,1,2,1,Female,Rent,1,Bad
585,1,Critical acc/Other cr existing,1,2,2,Male,Rent,2,Good
586,1,Existing credits paid,1,2,4,Male,Own,1,Good
587,1,Existing credits paid,1,2,4,Male,Own,1,Bad
588,1,Critical acc/Other cr existing,1,4,3,Male,Own,2,Bad
589,1,Critical acc/Other cr existing,1,3,4,Female,Own,4,Good
590,2,Delay in paying,0,2,4,Female,Rent,2,Good
591,0,Existing credits paid,4,4,4,Female,Own,1,Good
592,2,Existing credits paid,1,2,3,Female,Rent,1,Bad
593,1,All cr at this bank paid,0,4,4,Male,Own,1,Bad
594,2,All cr at this bank paid,2,1,1,Female,Own,1,Bad
595,1,Existing credits paid,1,3,4,Female,Rent,2,Bad
596,2,No cr taken/all cr paid,1,2,1,Male,Own,3,Bad
597,0,Critical acc/Other cr existing,1,3,2,Male,Own,2,Bad
598,0,Delay in paying,1,2,1,Male,For free,1,Good
599,2,Existing credits paid,1,1,1,Female,Own,1,Good
600,2,Existing credits paid,1,2,4,Female,Own,1,Bad
601,2,All cr at this bank paid,1,3,4,Female,For free,1,Bad
602,0,Existing credits paid,1,2,4,Female,Own,1,Bad
603,3,Existing credits paid,1,1,4,Female,Own,1,Good
604,1,All cr at this bank paid,3,2,4,Male,Own,1,Good
605,0,Critical acc/Other cr existing,1,2,3,Male,Own,1,Good
606,2,Existing credits paid,2,2,4,Female,For free,1,Bad
607,0,Existing credits paid,1,1,4,Male,Own,1,Good
608,0,Existing credits paid,0,4,4,Male,For free,1,Good
609,1,Existing credits paid,2,0,4,Female,Own,1,Bad
610,3,Existing credits paid,2,4,1,Female,For free,1,Bad
611,1,Existing credits paid,4,1,4,Female,Own,1,Good
612,1,All cr at this bank paid,1,2,1,Female,Rent,1,Good
613,0,Delay in paying,1,3,4,Female,Own,1,Bad
614,2,No cr taken/all cr paid,0,2,2,Male,Own,1,Good
615,2,Delay in paying,0,2,2,Male,For free,1,Good
616,1,Critical acc/Other cr existing,1,2,1,Male,Rent,3,Good
617,2,Existing credits paid,2,2,2,Female,Rent,1,Bad
618,0,Existing credits paid,1,2,4,Male,Own,1,Good
619,2,Critical acc/Other cr existing,1,3,2,Male,Own,2,Good
620,0,Critical acc/Other cr existing,1,2,3,Male,Own,2,Bad
621,0,Existing credits paid,0,2,4,Male,Own,1,Bad
622,1,Existing credits paid,1,1,4,Female,Rent,1,Good
623,1,Existing credits paid,1,2,4,Male,For free,2,Bad
624,0,Existing credits paid,0,4,4,Male,Own,1,Good
625,3,Existing credits paid,1,2,2,Male,Own,1,Good
626,2,All cr at this bank paid,2,3,2,Male,Own,1,Bad
627,0,Critical acc/Other cr existing,3,2,4,Male,Own,2,Good
628,0,Existing credits paid,0,4,1,Male,Own,1,Good
629,1,Existing credits paid,1,2,2,Female,Own,1,Good
630,1,All cr at this bank paid,1,2,4,Male,Own,1,Bad
631,2,Existing credits paid,0,1,4,Male,Own,1,Good
632,0,Existing credits paid,1,1,2,Female,Rent,2,Bad
633,2,Existing credits paid,1,1,3,Female,Own,1,Bad
634,0,Existing credits paid,1,4,4,Male,Own,3,Good
635,0,Existing credits paid,3,3,4,Female,Own,1,Good
636,0,Delay in paying,1,3,2,Male,Own,2,Good
637,0,Existing credits paid,1,1,4,Female,Own,1,Good
638,1,Delay in paying,1,3,3,Male,Own,2,Bad
639,1,Existing credits paid,1,0,4,Female,Own,1,Bad
640,2,Existing credits paid,1,4,4,Male,Own,2,Good
641,0,Existing credits paid,2,2,3,Male,Own,1,Bad
642,0,Critical acc/Other cr existing,1,3,4,Male,Own,2,Good
643,1,Critical acc/Other cr existing,1,3,4,Male,Own,2,Good
644,0,Delay in paying,0,1,4,Male,Rent,2,Bad
645,1,No cr taken/all cr paid,1,2,2,Male,Own,2,Good
646,0,Existing credits paid,3,2,2,Female,Own,1,Bad
647,3,Existing credits paid,1,3,4,Male,For free,1,Bad
648,1,Existing credits paid,1,2,4,Male,Rent,1,Bad
649,1,Existing credits paid,1,3,4,Male,For free,1,Good
650,2,Existing credits paid,1,2,4,Male,Own,1,Bad
651,1,Existing credits paid,1,4,4,Male,Own,1,Bad
652,2,Delay in paying,2,4,2,Male,Own,4,Bad
653,0,Critical acc/Other cr existing,1,3,4,Male,Own,2,Good
654,1,Existing credits paid,1,0,1,Male,For free,1,Good
655,2,Existing credits paid,1,4,4,Male,Own,1,Bad
656,0,Existing credits paid,0,3,4,Male,Own,1,Good
657,2,No cr taken/all cr paid,1,2,2,Female,Own,2,Good
658,2,Critical acc/Other cr existing,1,4,2,Male,Own,1,Good
659,3,Existing credits paid,1,2,3,Male,Rent,1,Good
660,1,Existing credits paid,0,2,4,Male,Own,1,Bad
661,0,Existing credits paid,1,4,4,Male,Own,2,Good
662,2,Delay in paying,1,0,4,Male,Own,2,Good
663,3,Critical acc/Other cr existing,1,2,2,Female,Own,1,Good
664,0,Critical acc/Other cr existing,1,0,4,Male,Own,2,Good
665,2,All cr at this bank paid,4,2,4,Male,Own,1,Good
666,0,All cr at this bank paid,1,2,1,Female,Own,1,Good
667,1,Critical acc/Other cr existing,1,4,3,Male,Rent,2,Bad
668,3,Critical acc/Other cr existing,1,4,4,Male,Own,1,Good
669,0,Critical acc/Other cr existing,2,2,3,Male,Own,2,Good
670,0,Existing credits paid,2,3,2,Male,Own,2,Good
671,0,Existing credits paid,1,4,2,Male,Own,1,Good
672,0,Critical acc/Other cr existing,3,2,1,Male,Own,1,Good
673,0,Delay in paying,3,1,4,Male,Own,1,Bad
674,0,Critical acc/Other cr existing,1,3,4,Female,Rent,1,Good
675,0,Critical acc/Other cr existing,1,4,4,Male,Own,1,Good
676,2,Existing credits paid,2,2,2,Male,Own,1,Bad
677,1,Existing credits paid,1,4,4,Male,Rent,1,Good
678,0,Existing credits paid,1,1,3,Female,Own,1,Good
679,0,Existing credits paid,1,1,1,Female,Own,1,Good
680,0,Existing credits paid,0,2,4,Male,For free,1,Good
681,0,Delay in paying,1,2,4,Male,Own,2,Good
682,0,Critical acc/Other cr existing,1,1,3,Male,For free,3,Good
683,2,Delay in paying,2,3,1,Male,Own,2,Good
684,0,Existing credits paid,0,2,4,Male,For free,1,Good
685,3,Critical acc/Other cr existing,0,3,4,Male,Own,2,Good
686,2,Delay in paying,2,4,4,Male,For free,1,Good
687,0,Existing credits paid,2,4,3,Male,Own,1,Good
688,1,Existing credits paid,4,2,1,Male,Own,1,Good
689,1,Critical acc/Other cr existing,1,2,2,Male,Own,2,Good
690,2,Existing credits paid,2,2,3,Female,Own,1,Good
691,2,Existing credits paid,2,1,2,Male,Own,1,Good
692,1,Critical acc/Other cr existing,0,1,1,Male,Own,2,Good
693,0,Existing credits paid,1,3,4,Male,Own,1,Good
694,0,Existing credits paid,3,2,2,Male,Rent,1,Good
695,2,Existing credits paid,1,3,4,Male,Own,2,Good
696,0,Critical acc/Other cr existing,1,0,1,Female,Own,1,Good
697,0,Critical acc/Other cr existing,1,2,4,Male,Own,2,Good
698,3,Existing credits paid,1,4,4,Male,Rent,1,Good
699,0,Existing credits paid,3,2,4,Female,Rent,1,Bad
700,1,Critical acc/Other cr existing,1,4,4,Male,For free,2,Bad
701,3,Existing credits paid,2,4,4,Female,For free,1,Good
702,2,Delay in paying,2,4,4,Male,Own,2,Good
703,2,Existing credits paid,1,1,4,Female,Own,1,Good
704,0,Existing credits paid,3,4,1,Female,For free,1,Good
705,2,Existing credits paid,2,3,3,Male,Own,1,Bad
706,2,No cr taken/all cr paid,1,1,4,Female,Rent,2,Bad
707,2,Existing credits paid,1,4,4,Female,Own,1,Good
708,2,Existing credits paid,1,2,2,Male,Own,1,Good
709,0,Critical acc/Other cr existing,3,4,4,Male,Own,2,Good
710,1,All cr at this bank paid,1,4,4,Female,For free,1,Bad
711,0,Existing credits paid,0,4,4,Male,Own,1,Good
712,1,Critical acc/Other cr existing,1,2,4,Male,Own,2,Good
713,2,Existing credits paid,1,3,4,Male,Own,1,Bad
714,0,Critical acc/Other cr existing,0,4,1,Male,Own,2,Good
715,0,Critical acc/Other cr existing,0,4,3,Male,Own,2,Good
716,0,Existing credits paid,1,2,4,Male,For free,1,Good
717,3,Critical acc/Other cr existing,0,2,3,Male,Own,2,Good
718,2,No cr taken/all cr paid,2,4,3,Male,Own,2,Good
719,3,No cr taken/all cr paid,1,1,4,Male,Own,2,Bad
720,2,All cr at this bank paid,4,1,4,Female,Rent,1,Bad
721,1,Existing credits paid,1,2,4,Female,Own,1,Bad
722,2,Existing credits paid,3,2,4,Female,Own,1,Good
723,0,Existing credits paid,1,2,3,Female,Rent,1,Bad
724,0,Critical acc/Other cr existing,4,2,2,Female,Own,2,Good
725,0,Critical acc/Other cr existing,3,2,2,Male,Own,2,Good
726,1,Existing credits paid,1,2,4,Female,Rent,2,Bad
727,2,All cr at this bank paid,1,4,4,Female,Rent,1,Bad
728,3,Critical acc/Other cr existing,4,2,2,Male,Own,2,Good
729,2,Delay in paying,1,1,1,Male,Own,1,Good
730,1,Existing credits paid,1,2,2,Male,Rent,1,Bad
731,2,Existing credits paid,1,3,4,Female,Own,1,Good
732,0,Existing credits paid,4,2,2,Female,Rent,1,Good
733,0,Critical acc/Other cr existing,1,3,1,Female,Own,1,Good
734,2,All cr at this bank paid,0,1,3,Female,Own,1,Good
735,2,Existing credits paid,1,2,1,Female,Rent,2,Bad
736,1,Existing credits paid,2,2,3,Male,Own,1,Good
737,0,Critical acc/Other cr existing,1,3,1,Male,Own,2,Good
738,2,No cr taken/all cr paid,2,2,4,Female,Rent,2,Bad
739,1,All cr at this bank paid,2,3,2,Male,Own,1,Good
740,2,All cr at this bank paid,1,2,4,Male,Own,1,Good
741,0,Existing credits paid,0,4,4,Male,Own,1,Good
742,1,All cr at this bank paid,3,2,4,Male,Own,1,Good
743,1,Critical acc/Other cr existing,0,3,4,Male,Own,2,Good
744,1,Critical acc/Other cr existing,1,1,3,Male,Own,2,Good
745,1,Existing credits paid,1,0,1,Female,Rent,1,Good
746,1,Existing credits paid,1,1,3,Female,Own,1,Bad
747,0,Existing credits paid,0,2,1,Male,Own,1,Good
748,0,Existing credits paid,1,3,2,Male,Own,1,Good
749,1,Existing credits paid,1,4,2,Female,Own,1,Good
750,1,Existing credits paid,1,1,1,Female,Own,1,Bad
751,2,Existing credits paid,2,3,2,Female,Rent,1,Good
752,0,Critical acc/Other cr existing,1,3,4,Female,Own,2,Good
753,0,Delay in paying,4,4,4,Male,For free,2,Bad
754,1,Existing credits paid,0,3,4,Female,Rent,1,Bad
755,3,Critical acc/Other cr existing,1,2,1,Male,Own,3,Good
756,3,Critical acc/Other cr existing,0,2,3,Male,For free,2,Bad
757,0,Existing credits paid,1,2,2,Male,Own,1,Good
758,1,Critical acc/Other cr existing,1,4,4,Male,Own,2,Bad
759,0,Critical acc/Other cr existing,0,4,1,Female,Own,1,Good
760,1,Critical acc/Other cr existing,1,2,4,Female,Rent,2,Bad
761,1,Existing credits paid,1,2,4,Male,Own,1,Good
762,0,Critical acc/Other cr existing,0,4,4,Male,For free,1,Bad
763,0,Critical acc/Other cr existing,2,3,4,Male,Own,2,Good
764,2,Existing credits paid,1,4,3,Male,Own,2,Good
765,1,Existing credits paid,1,1,2,Male,Own,1,Bad
766,0,Existing credits paid,0,1,1,Female,Rent,1,Good
767,2,Critical acc/Other cr existing,1,4,1,Male,Rent,3,Good
768,0,Critical acc/Other cr existing,1,4,2,Male,Own,2,Good
769,1,Existing credits paid,0,4,2,Female,Rent,1,Good
770,1,Critical acc/Other cr existing,1,2,3,Female,Own,2,Bad
771,0,Critical acc/Other cr existing,1,4,1,Male,Own,1,Good
772,0,Critical acc/Other cr existing,2,4,4,Male,Own,2,Good
773,3,Critical acc/Other cr existing,3,0,2,Male,For free,3,Good
774,1,Existing credits paid,0,2,4,Female,Rent,1,Bad
775,0,Critical acc/Other cr existing,1,3,4,Male,Own,2,Good
776,1,Existing credits paid,1,3,4,Female,Own,1,Good
777,0,Critical acc/Other cr existing,4,4,4,Male,Own,2,Good
778,2,Existing credits paid,1,0,2,Female,Own,1,Good
779,2,Critical acc/Other cr existing,1,3,2,Male,Own,2,Bad
780,0,Critical acc/Other cr existing,4,4,4,Male,Own,1,Good
781,2,No cr taken/all cr paid,1,2,2,Male,Own,1,Good
782,2,Existing credits paid,2,1,4,Female,Own,1,Bad
783,2,Existing credits paid,0,0,1,Male,Own,1,Good
784,2,Existing credits paid,4,2,4,Male,Own,1,Good
785,0,Existing credits paid,3,4,3,Male,Own,1,Good
786,0,Critical acc/Other cr existing,0,4,4,Male,Own,2,Good
787,2,Delay in paying,1,4,4,Male,For free,1,Bad
788,1,Critical acc/Other cr existing,1,2,4,Male,Own,1,Bad
789,2,Existing credits paid,1,4,2,Female,Own,1,Bad
790,0,Existing credits paid,0,4,3,Male,Own,1,Good
791,0,Critical acc/Other cr existing,0,2,1,Male,Own,2,Good
792,3,Existing credits paid,1,4,3,Male,For free,1,Good
793,0,Existing credits paid,3,4,4,Male,Rent,1,Good
794,0,Existing credits paid,2,1,2,Female,Rent,1,Good
795,1,Existing credits paid,0,4,1,Male,For free,1,Bad
796,0,Critical acc/Other cr existing,1,1,2,Female,Rent,2,Good
797,0,Delay in paying,0,4,4,Male,Own,2,Good
798,2,Existing credits paid,0,1,4,Male,Own,1,Good
799,0,Critical acc/Other cr existing,1,4,4,Male,For free,2,Good
800,2,Critical acc/Other cr existing,1,4,3,Female,Rent,2,Good
801,1,Critical acc/Other cr existing,1,4,1,Female,Own,2,Good
802,0,Critical acc/Other cr existing,0,4,4,Male,Own,2,Good
803,2,Existing credits paid,0,0,1,Female,Rent,1,Good
804,1,Existing credits paid,1,3,2,Male,Own,1,Bad
805,2,Existing credits paid,1,1,3,Male,Own,1,Good
806,0,Critical acc/Other cr existing,0,4,4,Male,Own,4,Good
807,2,All cr at this bank paid,1,0,1,Male,For free,1,Good
808,2,No cr taken/all cr paid,1,1,2,Female,Rent,2,Bad
809,2,Existing credits paid,1,1,3,Male,Own,1,Good
810,2,Existing credits paid,1,3,3,Male,Own,1,Good
811,1,Critical acc/Other cr existing,1,3,4,Male,Own,2,Bad
812,1,Existing credits paid,1,2,3,Male,Own,1,Bad
813,1,Existing credits paid,1,3,4,Male,For free,1,Bad
814,2,Delay in paying,1,2,2,Female,Rent,1,Good
815,0,Existing credits paid,3,2,1,Male,Own,1,Good
816,0,Critical acc/Other cr existing,1,3,1,Female,Rent,2,Good
817,1,Existing credits paid,1,0,2,Male,Own,1,Good
818,1,Existing credits paid,1,2,4,Male,Own,1,Bad
819,0,Existing credits paid,1,2,3,Male,Own,2,Good
820,3,Existing credits paid,1,2,3,Male,Own,1,Good
821,1,Existing credits paid,1,4,2,Male,Own,1,Bad
822,1,Critical acc/Other cr existing,1,4,4,Male,Own,2,Good
823,0,Critical acc/Other cr existing,1,1,3,Male,Own,2,Good
824,1,Critical acc/Other cr existing,1,4,4,Male,Own,2,Good
825,1,Critical acc/Other cr existing,1,4,1,Female,Rent,3,Bad
826,0,No cr taken/all cr paid,1,2,2,Male,Own,2,Bad
827,1,Existing credits paid,0,4,3,Male,For free,1,Bad
828,2,Delay in paying,0,2,4,Male,For free,1,Good
829,0,Delay in paying,3,2,4,Male,Own,2,Good
830,1,Existing credits paid,1,1,4,Female,Rent,1,Bad
831,1,No cr taken/all cr paid,1,4,2,Male,Rent,2,Bad
832,2,Existing credits paid,0,4,2,Female,Own,1,Good
833,3,Existing credits paid,1,1,2,Female,Own,1,Bad
834,1,No cr taken/all cr paid,1,2,4,Male,Own,2,Bad
835,0,Existing credits paid,0,2,4,Female,Own,1,Good
836,0,Existing credits paid,1,1,1,Female,Rent,1,Good
837,1,Critical acc/Other cr existing,1,4,4,Male,Own,2,Good
838,0,Critical acc/Other cr existing,1,4,4,Male,Own,2,Good
839,1,Existing credits paid,1,3,4,Male,Own,1,Bad
840,0,Delay in paying,1,2,3,Male,Own,2,Good
841,0,Existing credits paid,1,1,4,Female,Own,1,Bad
842,0,All cr at this bank paid,1,3,4,Male,Own,1,Good
843,0,Existing credits paid,1,4,4,Male,Own,3,Good
844,2,Existing credits paid,0,3,2,Male,Own,1,Good
845,0,Existing credits paid,0,2,2,Male,Rent,2,Bad
846,0,Existing credits paid,1,1,4,Male,Own,1,Good
847,1,Existing credits paid,1,3,3,Male,Own,1,Good
848,1,Existing credits paid,1,4,4,Male,Own,1,Bad
849,1,Critical acc/Other cr existing,1,2,4,Male,Rent,2,Bad
850,0,Critical acc/Other cr existing,0,3,3,Male,Own,2,Good
851,0,Critical acc/Other cr existing,1,2,4,Male,For free,2,Good
852,1,All cr at this bank paid,1,3,4,Male,For free,2,Bad
853,0,Delay in paying,1,4,2,Male,Own,2,Good
854,0,Existing credits paid,2,1,4,Male,Own,1,Good
855,0,Existing credits paid,0,3,4,Female,Own,1,Good
856,0,Critical acc/Other cr existing,1,2,4,Male,For free,1,Good
857,1,Existing credits paid,1,2,3,Female,Own,1,Bad
858,0,Existing credits paid,2,2,1,Male,Rent,1,Good
859,0,Critical acc/Other cr existing,4,2,4,Male,Own,2,Good
860,0,Delay in paying,1,2,4,Male,Own,1,Bad
861,1,Existing credits paid,1,1,4,Female,Own,1,Bad
862,0,Critical acc/Other cr existing,4,1,4,Male,Own,2,Good
863,0,Existing credits paid,1,2,2,Male,Rent,1,Bad
864,0,Existing credits paid,3,2,2,Female,Rent,1,Good
865,1,Existing credits paid,1,1,4,Female,Own,1,Good
866,0,Critical acc/Other cr existing,1,4,2,Male,Own,1,Good
867,0,Existing credits paid,0,4,3,Male,Own,2,Good
868,1,Existing credits paid,1,4,4,Female,Rent,1,Good
869,0,Delay in paying,3,3,2,Female,Own,2,Good
870,3,Critical acc/Other cr existing,1,4,1,Male,Own,2,Good
871,1,Critical acc/Other cr existing,2,3,4,Male,Own,2,Good
872,0,Existing credits paid,0,1,4,Female,Own,1,Good
873,1,Existing credits paid,1,2,2,Male,Own,1,Good
874,2,Critical acc/Other cr existing,4,2,4,Female,Own,2,Good
875,1,All cr at this bank paid,1,1,3,Male,For free,1,Good
876,0,Existing credits paid,1,4,4,Male,Own,1,Good
877,1,Existing credits paid,1,1,3,Male,For free,1,Bad
878,0,Critical acc/Other cr existing,0,3,2,Male,Own,2,Good
879,0,Existing credits paid,1,3,3,Male,Own,1,Good
880,0,Existing credits paid,0,2,2,Male,For free,1,Good
881,2,Critical acc/Other cr existing,0,4,4,Male,Own,2,Good
882,0,Critical acc/Other cr existing,1,0,4,Female,Own,2,Good
883,2,Existing credits paid,1,3,3,Male,Own,1,Bad
884,1,Existing credits paid,1,1,4,Female,Own,1,Bad
885,2,Critical acc/Other cr existing,0,3,4,Male,Own,2,Good
886,2,Existing credits paid,1,2,2,Male,Own,1,Bad
887,0,Critical acc/Other cr existing,1,4,4,Male,Own,2,Good
888,0,All cr at this bank paid,0,1,3,Male,Rent,2,Good
889,1,Critical acc/Other cr existing,1,4,4,Male,Own,4,Good
890,0,Critical acc/Other cr existing,1,4,4,Male,Own,2,Good
891,1,Critical acc/Other cr existing,1,2,4,Male,Own,2,Good
892,2,Critical acc/Other cr existing,1,2,3,Male,Own,2,Good
